,0,1
0,2 tablespoons,oil
1,2,chicken breasts
2,3 cloves,garlic
3,6 strips,bacon
4,5 oz,spinach
5,2 teaspoons,salt
6,2 teaspoons,pepper
7,2 cups,heavy cream
8,1 ¼ cups,rotini pasta
9,1 cup,parmesan cheese
10,½ cup,fresh parsley
